Category,18-23,23-28,28-33,33-38,38-43,43-48,48-53,53-58,58-63
Rent,650,800,950,1100,1100,1050,1000,950,900
Utilities,60,80,100,120,130,140,140,140,130
Internet,30,35,35,40,40,40,40,40,35
Phone,25,30,30,35,35,30,30,25,25
Insurance,40,60,90,120,150,180,200,210,220
Loans,100,120,100,80,60,40,30,20,10 
Transport,70,100,120,140,150,160,150,130,110
Groceries,200,250,300,350,400,420,430,440,420
Household supplies,20,30,40,50,60,60,60,60,50
Personal care,40,50,60,70,80,90,90,90,80
Dining out,100,150,200,220,200,180,160,140,120
Clothing,60,80,100,100,90,80,70,60,50
Entertainment,50,80,100,100,90,80,70,60,50
Travel,50,100,150,200,250,250,250,200,150
Fitness,30,40,50,50,50,50,50,40,30
Hobbies,30,50,70,80,90,100,100,100,90
Education,100,80,50,30,20,10,10,10,5
Savings,20,80,150,250,350,400,450,500,500
